"","CRPS Prior 1","CRPS Prior 2","Coverage Prior 1","Coverage Prior 2"
"1",0.247213449079642,0.436324558609061,1,0.933333333333333
"2",0.238844542524036,0.254929366360409,1,1
"3",0.234568192500412,0.272925687368378,1,1
"4",0.239122037344218,0.27477158763421,1,1
"5",0.239957289745213,0.267692583616449,1,1
"6",0.250215405930446,0.245847439518481,1,1
"7",0.25791289625034,0.586477511238742,1,0.866666666666667
"8",0.235871883678119,0.242650049661521,1,1
"9",0.237834069247204,0.261240122781591,1,1
"10",0.235240375035128,0.261180886681404,1,1
"11",0.236522414385001,0.242651061342113,1,1
"12",0.23514584147561,0.24953129760642,1,1
"13",0.236126591920685,0.256681529785346,1,1
"14",0.234496938397149,0.252039786547849,1,1
"15",0.235948817115729,0.273630800139713,1,1
"16",0.246234525195039,0.34615678891078,1,1
"17",0.235207124041477,0.267475150032697,1,1
"18",0.235661870546246,0.260935914899248,1,1
"19",0.235088105202069,0.250779505500422,1,1
"20",0.237061559428428,0.269130682235816,1,1
"21",0.247956212650347,0.272182884395172,1,1
"22",0.242217560189204,0.297725472198951,1,0.966666666666667
"23",0.235828378848979,0.237502794119191,1,1
"24",0.237694625807753,0.255735983409607,1,1
"25",0.233977574514106,0.252145942611924,1,1
"26",0.241331948161059,0.342634465835039,1,0.966666666666667
"27",0.234904546681355,0.266091770711626,1,1
"28",0.234981161044477,0.253635306842407,1,1
"29",0.240730271973168,0.253260822209574,1,1
"30",0.23581341184109,0.281866034019242,1,1
"31",0.238866240323145,0.265872912851475,1,1
"32",0.234922809566199,0.244132274974829,1,1
"33",0.237198862055077,0.245395642795388,1,1
"34",0.238030894635553,0.249273318531768,1,1
"35",0.234263516857645,0.248374828465497,1,1
"36",0.235040886611598,0.244110230198839,1,1
"37",0.23525273340002,0.253387587094627,1,1
"38",0.234631574647362,0.251184638845509,1,1
"39",0.244763139558102,0.382195397458205,1,0.966666666666667
"40",0.238795435292288,0.278878413260099,1,1
"41",0.235991247132385,0.251817331581668,1,1
"42",0.238510215921378,0.26634434203928,1,1
"43",0.2361038616377,0.247985317844156,1,1
"44",0.255752965553911,0.350412429029401,1,0.966666666666667
"45",0.233730762480842,0.239414597074497,1,1
"46",0.236022085376641,0.272612092072405,1,1
"47",0.234638105651933,0.248802721911907,1,1
"48",0.238860001355973,0.240283974197344,1,1
"49",0.235852343680324,0.237957055572216,1,1
"50",0.238906402187593,0.276619556177903,1,1
"51",0.2359872643857,0.255176021022103,1,1
"52",0.329982341699876,0.344223467129469,1,1
"53",0.236054101778133,0.261962649567777,1,1
"54",0.238009141917513,0.264598878885258,1,1
"55",0.234511967640522,0.241422435947992,1,1
"56",0.240224062165554,0.276073072332969,1,1
"57",0.24333702555494,0.407377731776964,1,1
"58",0.243407753512514,0.348398381760274,1,1
"59",0.237097706618899,0.295662685658614,1,1
"60",0.23924956548612,0.248259517440145,1,1
"61",0.250193503752586,0.291584144971573,1,1
"62",0.235971648794874,0.236721155367275,1,1
"63",0.235722558565554,0.282340273639621,1,1
"64",0.234506163080978,0.262551236324663,1,1
"65",0.237431002198437,0.335141456483371,1,1
"66",0.236982445570299,0.258706605284565,1,1
"67",0.236459776028924,0.260804322594587,1,1
"68",0.234718403670624,0.260096104173806,1,1
"69",0.236530934593908,0.256598536004372,1,1
"70",0.244932851335831,0.258375714644578,1,1
"71",0.235643284972698,0.286727947016306,1,1
"72",0.244281858183368,0.259255760153001,1,1
"73",0.238788732789753,0.255768481925591,1,1
"74",0.234268554821567,0.244701279150512,1,1
"75",0.238358597208395,0.25830269368766,1,1
"76",0.235607668878983,0.258334780864302,1,1
"77",0.237882837536284,0.247742700008834,1,1
"78",0.23632558187341,0.2849936479492,1,1
"79",0.235737834142204,0.246230770434131,1,1
"80",0.235414581672377,0.261336032024975,1,1
"81",0.235589655533508,0.240677515556631,1,1
"82",0.23739413694528,0.275149165273252,1,1
"83",0.239240121758152,0.291240452457239,1,1
"84",0.236096487706476,0.243722513348301,1,1
"85",0.234848391562577,0.237757268437657,1,1
"86",0.234016145096649,0.246865765721279,1,1
"87",0.242666535310441,0.350191074286085,1,0.933333333333333
"88",0.23401653363294,0.243401477456144,1,1
"89",0.24544571189437,0.314088309335873,1,1
"90",0.235261018354433,0.245598909935117,1,1
"91",0.244026669240023,0.268590252293483,1,1
"92",0.236360154408356,0.261575882436005,1,1
"93",0.236544052116359,0.274624080548106,1,1
"94",0.236699125247211,0.298041492159568,1,1
"95",0.235343467132203,0.356046745230521,1,0.966666666666667
"96",0.239853034238054,0.263155281674914,1,1
"97",0.234770281204197,0.245800776622609,1,1
"98",0.236053542582393,0.255569041284623,1,1
"99",0.236951333503456,0.330075158424705,1,0.966666666666667
"100",0.247544952029574,0.273496672706924,1,1
