"","CRPS Prior 1","CRPS Prior 2","Coverage Prior 1","Coverage Prior 2"
"1",0.233774074514985,0.233436314379277,1,1
"2",0.234631017360876,0.247449318963164,1,1
"3",0.233238044503307,0.230311865685887,1,1
"4",0.23240065594507,0.236172171205229,1,1
"5",0.232743396071799,0.231894538072515,1,1
"6",0.232630677779543,0.230461251053314,1,1
"7",0.23376856711056,0.231625051044965,1,1
"8",0.232844845691383,0.240782644308358,1,1
"9",0.233553311673834,0.236918528358604,1,1
"10",0.232705325233089,0.24925027258952,1,1
"11",0.233316324038323,0.23137188456388,1,1
"12",0.233333465614442,0.232754574890927,1,1
"13",0.234194817885784,0.241871751112387,1,1
"14",0.232781985517366,0.233229153018117,1,1
"15",0.234243522712133,0.248429496087311,1,1
"16",0.233558482142746,0.241723399217923,1,1
"17",0.23280104499537,0.235706642397313,1,1
"18",0.237358932067114,0.25889958874302,1,1
"19",0.234789314364187,0.2336834897242,1,1
"20",0.233147561956615,0.236443920032557,1,1
"21",0.232628885316563,0.230268266566649,1,1
"22",0.23497428668271,0.261575533580278,1,1
"23",0.233145332091509,0.234511468851803,1,1
"24",0.233074472394283,0.234382405019146,1,1
"25",0.233002114041529,0.231142458896067,1,1
"26",0.23325352294467,0.241476693906449,1,1
"27",0.234815033646957,0.233844467453152,1,1
"28",0.231355206015644,0.234401746754521,1,1
"29",0.232931037839967,0.239471687162018,1,1
"30",0.235185512438282,0.231136355855423,1,1
"31",0.233247459878009,0.262646902562804,1,1
"32",0.234655271770417,0.236086428536819,1,1
"33",0.232378678042472,0.227816497235891,1,1
"34",0.234713772375836,0.235062837055464,1,1
"35",0.234181710849228,0.244455803589754,1,1
"36",0.233107995932447,0.248385889381072,1,1
"37",0.234661311562267,0.234729977149126,1,1
"38",0.232878624959311,0.232772609472498,1,1
"39",0.23446432518754,0.25507938700987,1,1
"40",0.233884200622028,0.238829345802931,1,1
"41",0.234685787121552,0.325087413758306,1,0.933333333333333
"42",0.232400611270439,0.231104350138433,1,1
"43",0.232691732143113,0.232567656190624,1,1
"44",0.234946697882569,0.233943676059769,1,1
"45",0.232812717732057,0.232195329607716,1,1
"46",0.233398948807242,0.230341926766095,1,1
"47",0.233713250806484,0.232576929766443,1,1
"48",0.23408064270839,0.284661984733592,1,1
"49",0.234142027940164,0.236369266879445,1,1
"50",0.237129838207179,0.246526085343668,1,1
"51",0.2360833080324,0.228442454076454,1,1
"52",0.233904804530106,0.232989190278939,1,1
"53",0.233136592031839,0.23257583789708,1,1
"54",0.234557053366348,0.240496042895713,1,1
"55",0.233648382345833,0.234512881932496,1,1
"56",0.232647710054673,0.22494653225834,1,1
"57",0.237966980798892,0.291363257187313,1,1
"58",0.234135795190005,0.247559276163962,1,1
"59",0.238263725459308,0.24875437602647,1,1
"60",0.237867122590723,0.319036525515093,1,1
"61",0.233183956026933,0.231875870585191,1,1
"62",0.230675050134691,0.228601058912795,1,1
"63",0.232969734769167,0.233381363678972,1,1
"64",0.237077289221169,0.407750452749363,1,0.933333333333333
"65",0.232445888851554,0.228362577948631,1,1
"66",0.233602389995645,0.23420029516676,1,1
"67",0.234939784098312,0.240117113283436,1,1
"68",0.232348855608907,0.243055485198701,1,1
"69",0.232313643236667,0.221955009385186,1,1
"70",0.23346379128832,0.231181713434558,1,1
"71",0.234283571642258,0.236237595171598,1,1
"72",0.234033770633279,0.250516927802809,1,1
"73",0.23420805034194,0.243385207691132,1,1
"74",0.23336114762811,0.236810410736874,1,1
"75",0.233455712055889,0.250971131968071,1,1
"76",0.234199066278816,0.261471447949083,1,1
"77",0.233877520699272,0.25477728915283,1,1
"78",0.232888862989148,0.230554122981106,1,1
"79",0.236039256002878,0.2860109774615,1,1
"80",0.234219295226899,0.23474920594974,1,1
"81",0.233143060662311,0.232193640792121,1,1
"82",0.232383158143961,0.230701350885324,1,1
"83",0.234764940454408,0.233718364064458,1,1
"84",0.235476946363505,0.274383040256075,1,1
"85",0.23752590881842,0.242313673198163,1,1
"86",0.232780508925746,0.227574350564011,1,1
"87",0.233405814626118,0.235125125831557,1,1
"88",0.233224571467771,0.230060693536612,1,1
"89",0.233595797790886,0.230792157561236,1,1
"90",0.233699123170739,0.237917913830478,1,1
"91",0.233336592614648,0.234310234858955,1,1
"92",0.2362502659427,0.236114813989428,1,1
"93",0.23413507162002,0.235571588069452,1,1
"94",0.232439724327525,0.222976663557508,1,1
"95",0.232630264781956,0.229420546951623,1,1
"96",0.233543565080391,0.234023715153474,1,1
"97",0.233324396642254,0.237041744890848,1,1
"98",0.235106575038669,0.293169260614687,1,1
"99",0.232622507837574,0.223368374674811,1,1
"100",0.237457041986634,0.232491672524551,1,1
