"","V1","V2","V3","V4","V5","V6","V7","V8"
"result.1",0.988869815104358,0.991800334050867,0.92161189051563,0.938104672220891,37.5830180644989,222.877113580704,0.000203609466552734,96.3567335605621
"result.2",0.990529552187294,0.992385233042715,0.923746702483271,0.946998499500278,24.6399617195129,222.348893642426,0.000206947326660156,138.993297815323
"result.3",0.988762079554666,0.991362469676655,0.93304171895889,0.951327018450998,31.8513734340668,219.856299638748,0.000213861465454102,117.077241182327
"result.4",0.989124751803631,0.991332797562262,0.928951583001768,0.942830205193095,30.7723207473755,221.494684457779,0.00018000602722168,69.5595343112946
"result.5",0.988601932624239,0.990079592994266,0.922663097672664,0.953046014486463,23.9664361476898,224.891359329224,0.00022578239440918,109.37139749527
"result.6",0.989467646638573,0.991135488393622,0.921496501424343,0.94104288333095,26.3179130554199,220.719240665436,0.000276088714599609,72.2867798805237
"result.7",0.989682824662063,0.992010214245665,0.918365419728376,0.949172778992038,31.2662832736969,229.069377660751,0.000221729278564453,148.676338434219
"result.8",0.989050501343238,0.99155393682022,0.93101301047066,0.950390979982464,28.4034993648529,221.47563958168,0.000273704528808594,101.564400911331
"result.9",0.989664624606949,0.992147258939638,0.922381494946211,0.948268892855401,20.4656410217285,233.494431495667,0.00020909309387207,183.931491374969
"result.10",0.990210315174907,0.992195207456176,0.926320128693935,0.946539729486153,25.5711092948914,223.686190366745,0.000201940536499023,104.236926078796
"result.11",0.990814814070892,0.992109955863378,0.931335792349637,0.944422871229977,25.0339634418488,226.240333557129,0.000252246856689453,137.299690485001
"result.12",0.988169078792363,0.9901126910514,0.928931986001229,0.939821249050549,23.9191703796387,230.307252883911,0.000191926956176758,163.413411855698
"result.13",0.988446733546392,0.990867296269601,0.92859011983739,0.952818384183821,21.5315086841583,226.369950532913,0.000210046768188477,84.3985638618469
"result.14",0.989888786115808,0.992202938958562,0.925217659362092,0.9445774577066,27.0024490356445,227.582210302353,0.000203132629394531,91.0608162879944
"result.15",0.989618769687542,0.992043683754815,0.924301741251219,0.945913150983867,20.901469707489,228.630170106888,0.000223398208618164,174.195972919464
"result.16",0.989685388856494,0.990930575905942,0.930581969715879,0.948839640615171,27.3554258346558,217.824834108353,0.000231027603149414,88.7755334377289
"result.17",0.989492899409656,0.99179761779243,0.930812057717359,0.947957442002848,23.3210325241089,225.679986476898,0.000208616256713867,108.651103258133
"result.18",0.98871619992532,0.98967992491747,0.916603939367589,0.946019976984634,28.1772303581238,224.837679862976,0.000196456909179688,95.2206473350525
"result.19",0.989231943385538,0.990499350505063,0.919782718659795,0.94829834940683,35.0957884788513,221.388197898865,0.000265598297119141,97.5760509967804
"result.20",0.9898024775834,0.99141509564136,0.927814119334518,0.942974391319086,30.3942594528198,222.599312067032,0.00024724006652832,87.4875388145447
"result.21",0.989649432596991,0.991877973978951,0.930405454434272,0.942580290274429,21.6122300624847,232.551226377487,0.000265121459960938,90.3923847675323
"result.22",0.989341085121567,0.990719463199995,0.92789181323109,0.943178870778492,23.358775138855,234.834456682205,0.000219821929931641,170.712059020996
"result.23",0.989166213991138,0.991263466859325,0.93470190191691,0.946356123969435,22.4797902107239,232.228418827057,0.000302791595458984,118.156066417694
"result.24",0.989657269549145,0.991860650193261,0.922676478476296,0.943892468705785,43.5039682388306,225.126478910446,0.000200271606445312,106.058664083481
"result.25",0.990104838833036,0.992576466542438,0.928830288113691,0.943429684608322,26.8247005939484,230.789932727814,0.000203609466552734,160.665245771408
"result.26",0.989958478737664,0.991806322727607,0.920230389479279,0.93659065475072,25.5991005897522,229.085501432419,0.000253915786743164,161.525058269501
"result.27",0.988592054082952,0.988116842861551,0.919084167693402,0.934605192638525,22.0033049583435,219.928213357925,0.000227928161621094,103.988918304443
"result.28",0.989379973398346,0.990951318763819,0.931239598203355,0.939532976237141,22.1183626651764,231.803398370743,0.000300884246826172,160.832641839981
"result.29",0.99022791342276,0.992303599753889,0.928629706175593,0.942873079192978,24.5262658596039,234.143616437912,0.000200033187866211,169.032491207123
"result.30",0.988513536099868,0.991173927136701,0.921124781522828,0.941311406535676,27.2212400436401,225.525720357895,0.000197410583496094,80.5220413208008
"result.31",0.989601051658736,0.991196253614404,0.936123409001123,0.935014852905727,25.6344592571259,195.772132635117,0.000208139419555664,86.2421519756317
"result.32",0.989903408942625,0.991534536040446,0.922643498446073,0.950219533475841,22.3121790885925,201.842029809952,0.000300407409667969,90.7144041061401
"result.33",0.990025043022574,0.992012970410266,0.926545677112935,0.943175808634865,21.1559278964996,199.839284420013,0.000265598297119141,81.3717124462128
"result.34",0.989092777918057,0.990528927520382,0.92537219822282,0.957793936540453,26.6047084331512,193.670622348785,0.000237703323364258,79.3637971878052
"result.35",0.988485188028248,0.989970623725826,0.928808339895137,0.940943535040188,24.5887076854706,192.230940580368,0.000424861907958984,87.9152896404266
"result.36",0.987619001401559,0.990782455893206,0.921181642312435,0.936480645334836,23.2081530094147,196.457859516144,0.00026702880859375,80.4067883491516
