"","CRPS Prior 1","CRPS Prior 2","Coverage Prior 1","Coverage Prior 2","CRPS Prior 1 RAND","CRPS Prior 2 RAND","Coverage Prior 1 RAND","Coverage Prior 2 RAND"
"1",0.232880473772645,0.232808638046648,1,1,1.65894024630194,1.67851991704905,0.966666666666667,0.966666666666667
"2",0.231998098790231,0.228094566276888,1,1,0.23516137028513,0.2503601245845,1,1
"3",0.233065262032409,0.230322294375932,1,1,0.234302077349139,0.297580613343442,1,1
"4",0.233238303775205,0.232470917992808,1,1,0.234962683327548,0.268825169079024,1,1
"5",0.232373071765278,0.224640164100784,1,1,0.233547997823264,0.232121612001152,1,1
"6",0.23226064956622,0.22829381862292,1,1,1.01179639570356,1.02973303291699,0.966666666666667,0.966666666666667
"7",0.232058043878871,0.231367918238309,1,1,0.238959718837093,0.254216949463377,1,1
"8",0.232904442433382,0.229722561983628,1,1,0.234469649297612,0.244939929013796,1,1
"9",0.232423335019629,0.232401853677642,1,1,1.50146321152762,1.52542231093197,0.966666666666667,0.966666666666667
"10",0.233996348864772,0.231237010353938,1,1,2.3139425893669,2.32460391270934,0.933333333333333,0.933333333333333
"11",0.233394733077772,0.230928416306041,1,1,0.235202992420523,0.252292980083555,1,1
"12",0.232267694493918,0.228536910455279,1,1,0.233669584789843,0.236179135110697,1,1
"13",0.232029783243759,0.226986252823148,1,1,0.23931327418468,0.3178375086343,1,0.966666666666667
"14",0.231749842469153,0.229743030695786,1,1,0.235143550503265,0.279611550190826,1,1
"15",0.232129853287062,0.229111977910673,1,1,0.234675660980123,0.238275175506259,1,1
"16",0.232732922015777,0.228004872960762,1,1,2.06752248424945,2.09757526625295,0.966666666666667,0.966666666666667
"17",0.231798696043552,0.22576294508064,1,1,0.234907021984871,0.236386498202773,1,1
"18",0.231597405327749,0.223202057978414,1,1,0.232769511472151,0.255304083473008,1,1
"19",0.233067107698828,0.231124633632409,1,1,0.252377603537876,0.254257652882501,1,1
"20",0.2324802362754,0.231747749072171,1,1,0.236090929695289,0.247927306422383,1,1
"21",0.232215884477397,0.224104334376841,1,1,0.237213241036972,0.285935894278166,1,1
"22",0.23264813008387,0.226022539922256,1,1,0.233195330614469,0.243900667429539,1,1
"23",0.23291991224491,0.231463475483016,1,1,0.233951216502515,0.241858681521372,1,1
"24",0.231419098332406,0.230032826592528,1,1,0.385331835009255,0.384339230911294,1,1
"25",0.232425706168926,0.227652416309554,1,1,0.233793174238203,0.24542674791409,1,1
"26",0.233224208723084,0.236382487563908,1,1,0.254510717077333,0.313165107326081,1,1
"27",0.231380667852641,0.230888936866863,1,1,0.232955781268186,0.232598051957452,1,1
"28",0.231930447169104,0.298386247886725,1,1,3.82105513410932,3.83315985780891,0.9,0.9
"29",0.2326390199768,0.229087556164335,1,1,0.23543264600138,0.244819352238419,1,1
"30",0.233220749219806,0.232203234427292,1,1,0.233561049778603,0.245998209655512,1,1
"31",0.233069798945298,0.226334822758356,1,1,0.233527155156661,0.233490647795865,1,1
"32",0.233062340543023,0.231741243544236,1,1,3.56051370915983,3.62791629360461,0.933333333333333,0.933333333333333
"33",0.233095472365137,0.231388186898099,1,1,1.194307719374,1.20567495954378,0.966666666666667,0.966666666666667
"34",0.23195717734844,0.231779742583406,1,1,0.233766671810505,0.274697009173235,1,1
"35",0.232959475103833,0.229017610144225,1,1,0.246189586227911,0.25424680334544,1,1
"36",0.232853449942406,0.230186793925611,1,1,0.232545340703081,0.239035508183008,1,1
"37",0.232411926535064,0.245859921933126,1,1,1.46404485842547,1.5511537146684,0.966666666666667,0.933333333333333
"38",0.233188697788892,0.231094213147184,1,1,0.23343743018272,0.258580529448596,1,1
"39",0.232104826825719,0.226327368721031,1,1,0.814741127796794,0.873742260105077,1,0.966666666666667
"40",0.232168516022431,0.223943425415901,1,1,0.233263714374909,0.237806562397571,1,1
"41",0.231619258015175,0.229769143356812,1,1,0.235976060978518,0.262912710119575,1,1
"42",0.23243356432656,0.228584613614492,1,1,0.234336990793025,0.228954861049135,1,1
"43",0.232514868729903,0.229312990393893,1,1,1.89273034267436,1.90005760309881,0.966666666666667,0.966666666666667
"44",0.234299868232915,0.239775700858827,1,1,0.246253634975149,0.326200455159504,1,1
"45",0.232097724870994,0.228106715488389,1,1,0.243787627800208,0.272531566276859,1,1
"46",0.232241755284045,0.229856095799135,1,1,0.234788102619893,0.273660356191182,1,1
"47",0.2327492848358,0.22888643153747,1,1,1.80886361141633,1.86394856684317,0.966666666666667,0.966666666666667
"48",0.241971515259947,0.417280894306248,1,0.833333333333333,4.4581116015365,5.66603930847776,0.8,0.8
"49",0.232546038797063,0.226192104672037,1,1,0.233942712506175,0.238261004138236,1,1
"50",0.232069557186548,0.230228717852298,1,1,0.236844328105828,0.232645057790342,1,1
"51",0.233314772419552,0.248891901080966,1,1,1.02190440814023,1.07442900727264,0.966666666666667,0.966666666666667
"52",0.232330649908001,0.227008758647118,1,1,0.235187578812871,0.274577955149646,1,1
"53",0.240637347991525,0.235295474157677,1,1,3.33479206297602,3.35604981686757,0.933333333333333,0.933333333333333
"54",0.232475253457608,0.232319145895003,1,1,0.234641581392315,0.262239060588718,1,1
"55",0.231789570139509,0.229681064936393,1,1,0.233015282515398,0.233313471414743,1,1
"56",0.232094958154599,0.22885531962887,1,1,0.24265169853827,0.24252408304132,1,1
"57",0.232065303091541,0.222837190254342,1,1,0.234800495809533,0.241016008623503,1,1
"58",0.232764488833144,0.229452477473528,1,1,0.239398041153698,0.244991244193243,1,1
"59",0.232498712749004,0.23008949501391,1,1,0.240082766184738,0.242221867144955,1,1
