"","V1","V2","V3","V4","V5","V6","V7","V8"
"result.1",0.978285596199805,0.981632774071313,0.898835216910901,0.913390890417318,25.3781514167786,84.1028423309326,0.000150203704833984,28.1560113430023
"result.2",0.977072771415732,0.980300578345811,0.888273330167321,0.912765508322157,17.2855741977692,84.7187790870667,0.000184297561645508,27.470516204834
"result.3",0.98085054919546,0.982491967758039,0.884082542633144,0.912413810867889,12.7477753162384,78.2539160251617,0.000244617462158203,29.6290636062622
"result.4",0.981636321017636,0.982632772882019,0.899948627419109,0.922564438616867,15.4510903358459,79.3109219074249,0.000168561935424805,28.3632056713104
"result.5",0.976928298700218,0.980830256065704,0.898441964333798,0.901252679655139,16.5329594612122,78.4840929508209,0.000204324722290039,26.6033170223236
"result.6",0.980311396175523,0.983189244131752,0.901278205811216,0.902533810356916,15.8244142532349,80.5520973205566,0.000198125839233398,34.0032026767731
"result.7",0.977658430818985,0.980236224886678,0.898438064674347,0.919744551262957,17.2765765190125,84.0547289848328,0.000164985656738281,28.3090765476227
"result.8",0.976693436918765,0.979780773897289,0.910454477309597,0.923613270600274,17.2030539512634,77.2718765735626,0.000187873840332031,27.9055325984955
"result.9",0.982843329738214,0.982758552817762,0.892888766595479,0.917498446104057,15.6489913463593,83.2488796710968,0.00026702880859375,31.0866129398346
"result.10",0.980429084497299,0.982124877910445,0.905848015452212,0.907793234772842,13.6417789459229,78.0464780330658,0.000168800354003906,29.4781768321991
"result.11",0.979757186850481,0.982166022005074,0.910610954007826,0.910923266254612,16.6723415851593,81.9180986881256,0.000182390213012695,29.2623353004456
"result.12",0.976854173701451,0.980544572042183,0.902259980624534,0.919736176812941,17.7231454849243,85.5472667217255,0.000328779220581055,32.0929338932037
"result.13",0.978136510357066,0.982691863839948,0.897137432437641,0.914350736314898,18.9408566951752,79.9698281288147,0.000179290771484375,32.0757682323456
"result.14",0.980568489063218,0.981513918212333,0.897789817010462,0.917904333193328,18.1631324291229,84.0113277435303,0.000169754028320312,33.1881816387177
"result.15",0.979010201262719,0.981863499512206,0.911473775889443,0.905066297954101,18.7945373058319,84.3617916107178,0.000190019607543945,31.2558643817902
"result.16",0.979496600057151,0.980670193999378,0.908298135342669,0.912802348234932,13.1309676170349,79.1463632583618,0.00028538703918457,27.6587526798248
"result.17",0.977553948776617,0.980998513980415,0.899369231757345,0.909480596368064,18.0021588802338,85.412456035614,0.000154972076416016,29.3167548179626
"result.18",0.979762041301788,0.981563475798829,0.903999224665875,0.91399793249838,12.4455647468567,78.3313629627228,0.000150918960571289,29.5893905162811
"result.19",0.976932661370976,0.98231035242649,0.896023207457938,0.92086998560789,12.3524143695831,74.7458310127258,0.000240325927734375,28.5023286342621
"result.20",0.982327504478704,0.983324887502921,0.898806225176061,0.908401084861926,16.5595591068268,82.5724120140076,0.000339269638061523,31.5598475933075
"result.21",0.980158289808137,0.982665954771693,0.896267469064657,0.920743787759641,13.028790473938,76.9776318073273,0.000200748443603516,29.7606885433197
"result.22",0.980500261441466,0.984206301634243,0.891522483075278,0.907478104965653,17.1635639667511,84.6666481494904,0.000183820724487305,31.0577778816223
"result.23",0.980347577813616,0.982652942865255,0.886208919713455,0.91451652706321,20.1346123218536,82.6657767295837,0.000159978866577148,35.6905927658081
"result.24",0.978881194612386,0.981216264625544,0.902773238053182,0.90557950835802,14.7694075107574,80.520574092865,0.000189304351806641,24.8673152923584
