"","CRPS Prior 1","CRPS Prior 2","Coverage Prior 1","Coverage Prior 2","CRPS Prior 1 RAND","CRPS Prior 2 RAND","Coverage Prior 1 RAND","Coverage Prior 2 RAND"
"1",0.232875056601735,0.233379886202903,1,1,1.78609183644451,1.80730847658265,0.966666666666667,0.966666666666667
"2",0.232077529209846,0.228521777027564,1,1,0.235255909351183,0.248385016622395,1,1
"3",0.233048854910281,0.230550656014172,1,1,0.234666405508006,0.307701615117482,1,1
"4",0.233373852622229,0.232590828485501,1,1,0.235328358115082,0.269270439543859,1,1
"5",0.232374766130158,0.224573842245452,1,1,0.233588725079702,0.232330635430759,1,1
"6",0.232335135498394,0.2276591112652,1,1,1.02842987857319,1.04539630502754,0.966666666666667,0.966666666666667
"7",0.232230442210521,0.231649696251038,1,1,0.239420703663236,0.253851078395021,1,1
"8",0.232989273620086,0.229864484032322,1,1,0.234567631227541,0.245172008660327,1,1
"9",0.23242805675891,0.232853094241484,1,1,1.5298476646173,1.55635235601252,0.966666666666667,0.966666666666667
"10",0.234173168174545,0.230714955783736,1,1,2.35608558249565,2.36576772252446,0.933333333333333,0.933333333333333
"11",0.233130037512982,0.230737194543782,1,1,0.234559228710387,0.250038871325489,1,1
"12",0.232294945858142,0.228280389766041,1,1,0.233556083754564,0.236848724373651,1,1
"13",0.23194499805908,0.226307105057983,1,1,0.238114304315835,0.303505503518469,1,1
"14",0.23181407409192,0.229755432912378,1,1,0.235185243780917,0.276658802793309,1,1
"15",0.232227013632723,0.229001383152009,1,1,0.234524243357844,0.237517252810664,1,1
"16",0.232805967364784,0.228537497800834,1,1,1.98099275181912,2.0070003769796,0.966666666666667,0.966666666666667
"17",0.231827799264858,0.226030000138735,1,1,0.235325714763422,0.236163234886927,1,1
"18",0.231616795427987,0.223232844861379,1,1,0.232581119257204,0.253614933604884,1,1
"19",0.233137959187775,0.231303074412256,1,1,0.255009929411013,0.256528297200611,1,1
"20",0.232504370229337,0.231816180509064,1,1,0.2357348668344,0.247275283453017,1,1
"21",0.232117952752004,0.224453902764471,1,1,0.237261787600759,0.285922994078458,1,1
"22",0.232717563193037,0.225201393752905,1,1,0.23330651424703,0.23919253569741,1,1
"23",0.232862975377064,0.231715999443975,1,1,0.233765287626665,0.242850295618271,1,1
"24",0.231421190767152,0.230166574867155,1,1,0.424486255840624,0.423277899349675,1,1
"25",0.232421826112322,0.227821761218737,1,1,0.233858331560123,0.24473754870023,1,1
"26",0.233280149968224,0.237030514285105,1,1,0.253653780964203,0.317698264764129,1,1
"27",0.231475454536914,0.230768340626935,1,1,0.2329776532943,0.232491749427366,1,1
"28",0.231979887802619,0.298681297749572,1,1,3.82454843621074,3.83690536097933,0.9,0.9
"29",0.232632125791179,0.229161655833805,1,1,0.235247472965863,0.243925464963302,1,1
"30",0.23314220189076,0.232408828956073,1,1,0.233532862027092,0.246639448959815,1,1
"31",0.233083530812107,0.226915689678153,1,1,0.233506161300051,0.233696695845135,1,1
"32",0.233016104177665,0.232449722353455,1,1,3.4614264919193,3.52856947826049,0.933333333333333,0.933333333333333
"33",0.233092043965225,0.231419771060487,1,1,1.14978138846059,1.16198209876453,0.966666666666667,0.966666666666667
"34",0.232001760998491,0.231884428711178,1,1,0.233925448699058,0.277421341637773,1,1
"35",0.232951732734144,0.22876710743617,1,1,0.245782754189437,0.253257442234467,1,1
"36",0.232761306581139,0.230026228157196,1,1,0.232341452538374,0.23766529617147,1,1
"37",0.232542758158734,0.244707989755849,1,1,1.46620562621198,1.54673888235933,0.966666666666667,0.933333333333333
"38",0.233190769215988,0.230998016591416,1,1,0.233452120644009,0.258772995232744,1,1
"39",0.232215024063049,0.226646705024138,1,1,0.85797518873822,0.91250763196782,0.966666666666667,0.966666666666667
"40",0.232073069323031,0.22417887615299,1,1,0.233295764408498,0.23858531173191,1,1
"41",0.231840696401917,0.229683722604615,1,1,0.236415420650228,0.265754098935199,1,1
"42",0.232393454286076,0.228696335183142,1,1,0.234086024872119,0.228998895182907,1,1
"43",0.232443929682119,0.22870922632793,1,1,1.82716414648718,1.82998932623271,0.966666666666667,0.966666666666667
"44",0.234203664766649,0.239766367971859,1,1,0.244660905596653,0.32784941089075,1,1
"45",0.232025134210728,0.228329956706173,1,1,0.245473043389482,0.272867233127707,1,1
"46",0.232258679740855,0.229860556001217,1,1,0.23559695030809,0.271261956760186,1,1
"47",0.23281282931228,0.229142004177489,1,1,1.93828532683903,1.98745434941555,0.966666666666667,0.966666666666667
"48",0.241318021451315,0.411672864481307,1,0.833333333333333,4.44412958485744,5.72380560428131,0.8,0.8
"49",0.232524214159461,0.225901910098286,1,1,0.234081104015305,0.238619745287002,1,1
"50",0.232064257020179,0.230295338477897,1,1,0.236154201917742,0.233104479457084,1,1
"51",0.233156954257566,0.246831246772994,1,1,0.928964048666607,0.990719999748468,0.966666666666667,0.966666666666667
"52",0.232415991774009,0.226590189420502,1,1,0.23507809458652,0.273441547674863,1,1
"53",0.240770660780933,0.235808016818857,1,1,3.45678677257702,3.48751881975283,0.933333333333333,0.933333333333333
"54",0.232420659658274,0.232176022654023,1,1,0.234628676915175,0.260316175623087,1,1
"55",0.231629350340383,0.229839853309136,1,1,0.233000041176382,0.23322378698306,1,1
"56",0.232134540000352,0.228872480141963,1,1,0.242319988796451,0.242337499097768,1,1
"57",0.23212717492121,0.223386518925002,1,1,0.234942144588209,0.239376019971697,1,1
"58",0.232778357060533,0.229552558239338,1,1,0.238250555299657,0.244287964683406,1,1
"59",0.232543065087599,0.230035619550319,1,1,0.240876548959834,0.241621977537462,1,1
"60",0.234067551728358,0.230598228159979,1,1,1.80850589007345,1.80382295941088,0.966666666666667,0.966666666666667
"61",0.231803200454114,0.222280488999972,1,1,0.235426392724518,0.272998973863288,1,1
"62",0.233868540586709,0.244311284745,1,1,2.28735609790377,2.3468980239619,0.933333333333333,0.933333333333333
"63",0.233169846350888,0.230405889475691,1,1,0.239612584078217,0.307621435681134,1,0.966666666666667
"64",0.234095979440529,0.268580467840979,1,1,0.259736708804479,0.487471420453075,1,0.9
"65",0.233264904151294,0.241182768277623,1,1,1.56561819108523,1.56406054256573,0.966666666666667,0.966666666666667
"66",0.232633226942739,0.231629038249,1,1,0.239614612723619,0.236980202432935,1,1
"67",0.232411063207509,0.225003084033497,1,1,0.235370660905645,0.238897912639988,1,1
"68",0.232614202726267,0.228009788148397,1,1,0.235350284321477,0.239153071226651,1,1
"69",0.23175622316745,0.230077066733361,1,1,1.45426655394356,1.45817650374897,0.966666666666667,0.966666666666667
"70",0.233211076267333,0.243522984974665,1,1,0.257565096759433,0.312271739960923,1,1
"71",0.233285652346535,0.235428553964054,1,1,2.98579871913392,3.0168434031267,0.933333333333333,0.933333333333333
"72",0.232845151612378,0.228259637975345,1,1,0.234111851442369,0.280791621447775,1,1
"73",0.232972869457179,0.232295827709946,1,1,0.233020255351795,0.254137014462902,1,1
"74",0.23305033701995,0.228196619063405,1,1,0.237785528975396,0.250760034761227,1,1
"75",0.231969847354479,0.225721870986403,1,1,0.23555591906944,0.262627659622615,1,1
"76",0.232842178724814,0.226528429153376,1,1,0.234615283068893,0.246244932459572,1,1
"77",0.232635558464988,0.22970663573925,1,1,0.242400844504728,0.241048035882705,1,1
"78",0.232225055633337,0.235275394718398,1,1,0.237429289534779,0.281535199004925,1,1
"79",0.231993421209262,0.224915350270748,1,1,0.246896973119441,0.300196982962447,1,1
"80",0.232796926029589,0.22790701280233,1,1,0.23683533296223,0.283596980570989,1,1
"81",0.232638755964092,0.227576812652538,1,1,0.233765238182362,0.244475720008319,1,1
"82",0.233100447162284,0.233581068144345,1,1,0.243677898831047,0.298955146856528,1,1
"83",0.233110007963976,0.229577825861303,1,1,0.234502911991962,0.234189427841902,1,1
"84",0.232082892509913,0.222637600497004,1,1,0.236694406281152,0.316764853313728,1,1
"85",0.23164546389049,0.229561433131406,1,1,1.55922005452433,1.55728487786367,0.966666666666667,0.966666666666667
"86",0.23300709539625,0.243349871820343,1,1,0.240000667083126,0.262658828666648,1,1
"87",0.231976916034183,0.227590129139059,1,1,0.233746302436503,0.234778471721705,1,1
"88",0.232845563091885,0.233481654510234,1,1,1.2907432958511,1.28880430882242,0.966666666666667,0.966666666666667
"89",0.232403998818163,0.228496139005852,1,1,0.234622203135525,0.24692358609098,1,1
"90",0.231474925132055,0.22704520788975,1,1,1.5811674268819,1.59240441860015,0.966666666666667,0.966666666666667
"91",0.232407716178273,0.233922285513604,1,1,0.234312547615439,0.28525192232523,1,1
"92",0.232079177360316,0.227919778651124,1,1,0.233436503868028,0.264433909480298,1,1
"93",0.233016145420813,0.229463198062966,1,1,0.250355862481212,0.268487016605752,1,1
"94",0.232351899264548,0.229783979738212,1,1,1.87539137741219,1.8777245303484,0.966666666666667,0.966666666666667
"95",0.232380211058593,0.235405321389846,1,1,0.23490558192781,1.72736916353852,1,0.933333333333333
"96",0.232555302052663,0.231340757795826,1,1,1.3811459058199,1.40297953746924,0.966666666666667,0.966666666666667
"97",0.232909941133094,0.232149255038669,1,1,2.42058598183355,2.43394967805387,0.933333333333333,0.933333333333333
"98",0.2324767538092,0.230953466366003,1,1,0.239797390463361,0.289178282612185,1,1
"99",0.233032684259552,0.228867200957104,1,1,0.234139416471565,0.23988968992208,1,1
"100",0.233514809603036,0.226940553482903,1,1,0.237650743524097,0.253058290577844,1,1
