"","SA_bayesD","fedorov_bayesD","rand_bayesD","coord_bayesD","SA_CPU","fedorov_CPU","rand_CPU","coord_CPU"
"1",0.826571873324528,0.83800276905238,0.511987899301673,0.524692016602032,1.55032300949097,0.67379903793335,0.00229096412658691,0.237548828125
"2",0.844223507379445,0.82276626092007,0.473700773486641,0.575036947648857,1.49887990951538,0.533798933029175,6.00814819335938e-05,0.139596939086914
"3",0.844784092381914,0.848697006680369,0.482432348863133,0.533131226464023,1.40893888473511,0.617970943450928,6.60419464111328e-05,0.161935091018677
"4",0.867301679744836,0.860592818330886,0.504663541652967,0.588387806948181,1.39536690711975,0.77904200553894,9.08374786376953e-05,0.174218893051147
"5",0.860876387912282,0.837809607934639,0.51762485763909,0.584481092497107,1.3684561252594,0.717551946640015,8.20159912109375e-05,0.186869859695435
"6",0.86607355569599,0.860568645012363,0.609056359338065,0.61446220936263,1.44140315055847,0.745098829269409,5.81741333007812e-05,0.180788993835449
"7",0.833738071093089,0.782994816698352,0.456387129000076,0.585532113752753,1.67534685134888,0.527901887893677,8.20159912109375e-05,0.154993057250977
"8",0.871660607445274,0.84949832316834,0.497249712135075,0.587756355960913,1.48800110816956,1.54126596450806,0.000185012817382812,0.176846981048584
"9",0.869819493829572,0.864900243032469,0.481395593784974,0.60360920525459,3.4871609210968,1.62400197982788,0.000171899795532227,0.278725862503052
"10",0.878410615384816,0.856683132628153,0.451205876570664,0.627156927352899,3.40206789970398,1.41078400611877,0.000131845474243164,0.191148042678833
"11",0.835747582204538,0.821617711550634,0.537053536431382,0.590989007843036,1.54660987854004,0.617492914199829,7.00950622558594e-05,0.115915060043335
"12",0.843453534285741,0.826986495669059,0.464838733337475,0.582200659139624,1.42092895507812,0.605995893478394,6.60419464111328e-05,0.109687805175781
"13",0.884975404746672,0.857872466984522,0.525176777631899,0.593092546644496,1.4122428894043,0.836446046829224,7.98702239990234e-05,0.145925045013428
"14",0.867390501916332,0.864923829447857,0.45043883377639,0.571839916627286,1.43889212608337,0.904422044754028,7.79628753662109e-05,0.137384176254272
"15",0.883423689402759,0.888322034896792,0.498693142159963,0.54396511788308,1.53221011161804,0.861617803573608,7.48634338378906e-05,0.151406049728394
"16",0.880981557475632,0.867819203851604,0.54968669444764,0.596294104435534,1.52071499824524,0.852665185928345,7.51018524169922e-05,0.141382932662964
"17",0.854379758763326,0.831175273334647,0.515446785948307,0.522654888790838,1.58634805679321,0.716269969940186,7.29560852050781e-05,0.122062206268311
"18",0.859526326004037,0.850284648357261,0.518826421097508,0.587595164529826,1.53036904335022,0.665653944015503,6.98566436767578e-05,0.122771978378296
"19",0.876900556635324,0.857736062306212,0.53025329076228,0.557451887014561,1.54923796653748,0.822516918182373,7.29560852050781e-05,0.145275115966797
"20",0.862754968941483,0.866612496872174,0.476372594766524,0.542903196457954,1.52581596374512,0.75472617149353,7.00950622558594e-05,0.128832101821899
"21",0.829489799023469,0.802003559039777,0.492238207226644,0.582601535735319,1.54004406929016,0.581520080566406,7.31945037841797e-05,0.103470087051392
"22",0.859031430805308,0.832458801463848,0.447374027037414,0.642651029058154,1.55242586135864,0.79841685295105,6.103515625e-05,0.139312028884888
"23",0.871532372008804,0.8499708062672,0.48090951887196,0.615701589207921,1.53738403320312,0.759523868560791,9.70363616943359e-05,0.140859127044678
"24",0.87982001881272,0.863419636688311,0.561444529122351,0.636882351318877,1.53688406944275,0.769245147705078,8.20159912109375e-05,0.122908115386963
"25",0.865001791021641,0.854071967351084,0.502665597762355,0.624766446936334,1.54160404205322,0.757730007171631,6.41345977783203e-05,0.146836042404175
"26",0.836806849281602,0.825004834006324,0.539976492788545,0.585682527092514,1.53793811798096,0.65936803817749,7.10487365722656e-05,0.114927053451538
"27",0.894729701494993,0.843482967193275,0.502503253799726,0.624656598237533,1.55402708053589,0.795819044113159,7.79628753662109e-05,0.136814117431641
"28",0.860362501616678,0.827244142979563,0.475203421137727,0.552194259825544,1.53538107872009,0.67028284072876,7.08103179931641e-05,0.124258995056152
"29",0.842750607658461,0.827629365816279,0.505975454743061,0.611973399979628,1.59713006019592,0.772796154022217,8.91685485839844e-05,0.126596927642822
"30",0.829446527979704,0.836507783859682,0.530419121666378,0.554211488589448,1.53781795501709,0.734011173248291,6.89029693603516e-05,0.12102198600769
