Mark.Center_Seminary.Rd,Janneys.Ln_Seminary.Rd,Janneys.Ln_King.St.Metro,Braddock.Metro_Russell.Rd,Glebe.Rd_Russell.Rd,Glebe.Rd_Pentagon.Metro,Braddock.Metro_Cameron.Mills.Dr,Cameron.Mills.Dr_Parkfairfax,Parkfairfax_Pentagon.Metro,Van.Dorn.Metro_Whiting.St,Duke.St_Whiting.St,Duke.St_King.St.Metro,King.St.Metro_Old.Town.Circulator,Braddock.Metro_Old.Town.Circulator,King.St.Metro_NVCC,Landmark_Van.Dorn.Metro,Eisenhower_Van.Dorn.Metro,Eisenhower_King.St.Metro,Commonwealth.Ave_King.St.Metro,Commonwealth.Ave_Mt.Vernon.Ave,Mt.Vernon.Ave_Potomac.Yard.Ctr,Lee.Center_Potomac.Yard.Ctr,Van.Dorn.Metro_Yoakum.Pkwy,Beauregard.St_Yoakum.Pkwy,Beauregard.St_Pentagon.Metro,Mark.Center_Menokin.Dr,Menokin.Dr_Shirlington,Glebe.Rd_Shirlington,Glebe.Rd_Potomac.Yd.Ctr,Mark.Center_Park.Place,Park.Place_Shirlington,Temperature,Bus.Size,Y
0,0,0,0,0,0,0,0,0,3,3,3,6,6,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,1,354.8
0,0,0,0,0,0,0,0,0,5,5,5,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,253.504
0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,-1,439.904
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,358.9
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,585.3
0,0,0,2,2,2,0,0,0,3,3,3,5,5,2,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,-1,-1,410.08
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,191.992
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,395
0,0,0,0,0,0,0,0,0,3,3,3,5,5,2,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,1,438.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,347.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,-1,287.056
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,-1,-1,385.848
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,1,331.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,-1,1,297.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,1,304.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,4,4,4,0,0,0,0,0,0,-1,-1,309.424
0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,214.36
0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,1,194
0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,124.9
0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,1,510
0,0,0,0,0,0,0,0,0,3,3,3,5,5,2,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,-1,-1,449.224
0,0,0,0,0,0,0,0,0,7,7,7,11,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,389.576
0,0,0,0,0,0,0,0,0,1,1,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,217.6
0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,-1,-1,270.28
0,0,0,0,0,0,0,0,0,3,3,3,5,5,2,0,0,0,2,2,2,1,0,0,0,0,0,2,2,2,2,-1,-1,294.512
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,354.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,330.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,299.7
0,0,0,7,7,7,0,0,0,3,3,3,4,4,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,279.6
0,0,0,0,0,0,2,2,2,2,2,2,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,180.808
0,0,0,0,0,0,0,0,0,5,5,5,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,300.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,349.8
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,535.2
0,0,0,4,4,4,0,0,0,3,3,3,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,247.912
0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,180.808
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,1,1,403.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,1,1,302.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,186
0,0,0,0,0,0,0,0,0,2,2,2,10,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,231.136
0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,5,5,5,1,1,1,1,0,0,1,-1,259.096
0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,0,0,0,0,0,0,0,6,6,6,3,3,3,3,0,0,1,1,317.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,1,1,216.9
0,0,0,0,0,0,0,0,0,4,4,4,7,7,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,217.2
0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,5,5,5,2,2,2,2,0,0,-1,-1,503.28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,-1,233
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,591.4
