"","x"
"1",1.00009645191076
"2",0.999980938848011
"3",1.00008978370835
"4",1.00009817140034
"5",1.0000991797205
"6",1.00009898988423
"7",0.999946297885259
"8",1.00008907600684
"9",0.999982238637805
"10",0.999982032470983
"11",0.999968999617029
"12",0.999945840752919
"13",0.99996434155027
"14",1.0000493782666
"15",1.0000893204527
"16",0.999960286916515
"17",1.00009141248222
"18",1.00009980308943
"19",1.00005277449875
"20",1.00005134100369
"21",0.999948632758277
"22",1.00009753537752
"23",1.0000947457704
"24",1.00008916481718
"25",0.999985898593312
"26",0.999970128305101
"27",1.00003236206274
"28",1.00005328027336
"29",1.00009738780774
"30",1.00009587713085
